0.006  1.8660E-0008
0.016  5.4067E-0008
0.026  8.9761E-0008
0.036  1.2877E-0007
0.046  1.6901E-0007
0.056  2.1026E-0007
0.067  2.5151E-0007
0.076  2.9477E-0007
0.086  3.4004E-0007
0.096  3.8431E-0007
0.107  4.3260E-0007
0.116  4.8189E-0007
0.126  5.3219E-0007
0.136  5.8249E-0007
0.146  6.3280E-0007
0.156  6.8712E-0007
0.166  7.4044E-0007
0.176  7.9477E-0007
0.186  8.5211E-0007
0.196  9.1348E-0007
0.206  9.7183E-0007
0.217  1.0352E-0006
0.227  1.0976E-0006
0.236  1.1640E-0006
0.246  1.2284E-0006
0.256  1.2958E-0006
0.267  1.3682E-0006
0.276  1.4356E-0006
0.286  1.5121E-0006
0.297  1.5895E-0006
0.307  1.6640E-0006
0.316  1.7435E-0006
0.327  1.8209E-0006
0.337  1.8974E-0006
0.347  1.9728E-0006
0.357  2.0563E-0006
0.367  2.1328E-0006
0.377  2.2223E-0006
0.387  2.3089E-0006
0.397  2.3893E-0006
0.407  2.4789E-0006
0.417  2.5644E-0006
0.427  2.6499E-0006
0.437  2.7374E-0006
0.447  2.8219E-0006
0.458  2.9135E-0006
0.467  3.0000E-0006
0.477  3.0855E-0006
0.487  3.1740E-0006
0.498  3.2716E-0006
0.507  3.3602E-0006
0.517  3.4447E-0006
0.547  3.7384E-0006
0.578  4.0282E-0006
0.608  4.3119E-0006
0.637  4.5936E-0006
0.668  4.8612E-0006
0.698  5.2522E-0006
0.729  5.4303E-0006
0.758  5.6578E-0006
0.788  5.8853E-0006
0.819  6.1227E-0006
0.849  6.3501E-0006
0.878  6.5776E-0006
0.909  6.8150E-0006
0.939  7.0326E-0006
0.970  7.2601E-0006
0.999  7.5173E-0006
1.029  7.7745E-0006
1.069  8.1405E-0006
1.109  8.5262E-0006
1.150  8.9219E-0006
1.190  9.3571E-0006
1.230  9.8022E-0006
1.270  1.0307E-0005
1.310  1.0831E-0005
1.350  1.1395E-0005
1.391  1.1988E-0005
1.431  1.2631E-0005
1.471  1.3304E-0005
1.511  1.4006E-0005
1.552  1.4787E-0005
1.592  1.5589E-0005
1.632  1.6439E-0005
1.672  1.7329E-0005
1.712  1.8249E-0005
1.752  1.9169E-0005
1.793  2.0168E-0005
1.833  2.1157E-0005
1.873  2.2216E-0005
1.913  2.3274E-0005
1.953  2.4382E-0005
1.993  2.5470E-0005
2.033  2.6578E-0005
2.135  2.9456E-0005
2.234  3.2374E-0005
2.336  3.5351E-0005
2.435  3.8417E-0005
2.535  4.1503E-0005
2.633  4.4520E-0005
2.734  4.7695E-0005
2.833  5.0251E-0005
2.934  5.3266E-0005
3.035  5.7286E-0005
3.234  6.3317E-0005
3.434  7.0352E-0005
3.638  7.6382E-0005
3.835  8.3417E-0005
4.036  8.9447E-0005
4.237  9.5477E-0005
4.437  1.0050E-0004
4.634  1.0653E-0004
4.838  1.1156E-0004
