name time T kT_1 I
Q27N 13:36 300 38.65 9.347E-007
Q29N 13:40 302 38.39 9.515E-007
Q31N 13:42 304 38.14 1.016E-006
Q33N 13:44 306 37.89 1.138E-006
Q35N 13:48 308 37.64 1.236E-006
Q37N 13:56 310 37.4 1.348E-006
Q39N 14:0 312 37.16 1.463E-006
Q41N 14:6 314 36.92 1.612E-006
Q44N 14:13 317 36.57 1.837E-006
Q46N 14:16 319 36.35 1.966E-006
Q48N 14:21 321 36.12 2.098E-006
Q53N 14:24 326 35.57 1.185E-006
Q55N 14:30 328 35.35 1.216E-006
Q57N 14:35 330 35.13 1.230E-006
Q59N 14:0 332 34.92 1.265E-006
Q60N 14:6 333 34.82 1.292E-006
Q61N 14:13 334 34.71 1.359E-006
Q63N 14:16 336 34.51 1.311E-006
Q65N 14:21 338 34.3 1.303E-006
Q68N 14:24 341 34 1.251E-006
Q69N 14:30 342 33.9 1.271E-006
W27N 13:36 300 38.65 1.919E-007
W29N 13:40 302 38.39 2.087E-007
W31N 13:42 304 38.14 2.427E-007
W33N 13:44 306 37.89 2.782E-007
W35N 13:48 308 37.64 3.264E-007
W37N 13:56 310 37.4 3.747E-007
W39N 14:0 312 37.16 4.338E-007
W41N 14:6 314 36.92 5.222E-007
W44N 14:13 317 36.57 7.049E-007
W46N 14:16 319 36.35 7.842E-007
W48N 14:21 321 36.12 9.206E-007
W53N 14:24 326 35.57 1.186E-006
W55N 14:30 328 35.35 1.287E-006
W57N 14:35 330 35.13 1.426E-006
W59N 14:0 332 34.92 1.599E-006
W60N 14:6 333 34.82 1.617E-006
W61N 14:13 334 34.71 1.817E-006
W63N 14:16 336 34.51 1.784E-006
W65N 14:21 338 34.3 1.990E-006
W68N 14:24 341 34 2.191E-006
