name time T kT_1 I
Q27N 13:36 300 38.65 1.996E-007
Q29N 13:40 302 38.39 2.121E-007
Q31N 13:42 304 38.14 2.270E-007
Q33N 13:44 306 37.89 2.624E-007
Q35N 13:48 308 37.64 2.932E-007
Q37N 13:56 310 37.4 3.235E-007
Q39N 14:0 312 37.16 3.584E-007
Q41N 14:6 314 36.92 4.019E-007
Q44N 14:13 317 36.57 4.755E-007
Q46N 14:16 319 36.35 5.183E-007
Q48N 14:21 321 36.12 5.658E-007
Q53N 14:24 326 35.57 3.638E-007
Q55N 14:30 328 35.35 3.716E-007
Q57N 14:35 330 35.13 3.905E-007
Q59N 14:0 332 34.92 4.022E-007
Q60N 14:6 333 34.82 4.104E-007
Q61N 14:13 334 34.71 4.330E-007
Q63N 14:16 336 34.51 4.237E-007
Q65N 14:21 338 34.3 4.344E-007
Q68N 14:24 341 34 4.183E-007
Q69N 14:30 342 33.9 4.336E-007
W27N 13:36 300 38.65 1.182E-007
W29N 13:40 302 38.39 1.145E-007
W31N 13:42 304 38.14 1.406E-007
W33N 13:44 306 37.89 1.500E-007
W35N 13:48 308 37.64 1.724E-007
W37N 13:56 310 37.4 1.957E-007
W39N 14:0 312 37.16 2.192E-007
W41N 14:6 314 36.92 2.568E-007
W44N 14:13 317 36.57 3.310E-007
W46N 14:16 319 36.35 3.574E-007
W48N 14:21 321 36.12 4.034E-007
W53N 14:24 326 35.57 3.703E-007
W55N 14:30 328 35.35 3.851E-007
W57N 14:35 330 35.13 4.081E-007
W59N 14:0 332 34.92 4.366E-007
W60N 14:6 333 34.82 4.554E-007
W61N 14:13 334 34.71 5.071E-007
W63N 14:16 336 34.51 4.628E-007
W65N 14:21 338 34.3 5.049E-007
W68N 14:24 341 34 5.283E-007
