name time T kT_1 I
Q27N 13:36 300 38.65 2.251E-005
Q29N 13:40 302 38.39 2.290E-005
Q31N 13:42 304 38.14 2.324E-005
Q33N 13:44 306 37.89 2.367E-005
Q35N 13:48 308 37.64 2.404E-005
Q37N 13:56 310 37.4 2.447E-005
Q39N 14:0 312 37.16 2.514E-005
Q41N 14:6 314 36.92 2.566E-005
Q44N 14:13 317 36.57 2.695E-005
Q46N 14:16 319 36.35 2.742E-005
Q48N 14:21 321 36.12 2.802E-005
Q53N 14:24 326 35.57 1.608E-005
Q55N 14:30 328 35.35 1.592E-005
Q57N 14:35 330 35.13 1.639E-005
Q59N 14:0 332 34.92 1.716E-005
Q60N 14:6 333 34.82 1.700E-005
Q61N 14:13 334 34.71 1.767E-005
Q63N 14:16 336 34.51 1.808E-005
Q65N 14:21 338 34.3 1.908E-005
Q68N 14:24 341 34 2.093E-005
Q69N 14:30 342 33.9 2.069E-005
W27N 13:36 300 38.65 3.680E-007
W29N 13:40 302 38.39 4.223E-007
W31N 13:42 304 38.14 4.897E-007
W33N 13:44 306 37.89 5.695E-007
W35N 13:48 308 37.64 6.666E-007
W37N 13:56 310 37.4 7.572E-007
W39N 14:0 312 37.16 8.990E-007
W41N 14:6 314 36.92 1.089E-006
W44N 14:13 317 36.57 1.500E-006
W46N 14:16 319 36.35 1.686E-006
W48N 14:21 321 36.12 2.022E-006
W53N 14:24 326 35.57 3.211E-006
W55N 14:30 328 35.35 3.782E-006
W57N 14:35 330 35.13 4.540E-006
W59N 14:0 332 34.92 5.811E-006
W60N 14:6 333 34.82 5.633E-006
W61N 14:13 334 34.71 6.837E-006
W63N 14:16 336 34.51 7.656E-006
W65N 14:21 338 34.3 9.568E-006
W68N 14:24 341 34 1.249E-005
