name time T kT_1 I
Q27N 13:36 300 38.65 6.240E-008
Q29N 13:40 302 38.39 6.960E-008
Q31N 13:42 304 38.14 6.815E-008
Q33N 13:44 306 37.89 8.773E-008
Q35N 13:48 308 37.64 9.893E-008
Q37N 13:56 310 37.4 1.111E-007
Q39N 14:0 312 37.16 1.284E-007
Q41N 14:6 314 36.92 1.449E-007
Q44N 14:13 317 36.57 1.734E-007
Q46N 14:16 319 36.35 1.901E-007
Q48N 14:21 321 36.12 2.109E-007
Q53N 14:24 326 35.57 1.483E-007
Q55N 14:30 328 35.35 1.517E-007
Q57N 14:35 330 35.13 1.606E-007
Q59N 14:0 332 34.92 1.676E-007
Q60N 14:6 333 34.82 1.704E-007
Q61N 14:13 334 34.71 1.827E-007
Q63N 14:16 336 34.51 1.730E-007
Q65N 14:21 338 34.3 1.831E-007
Q68N 14:24 341 34 1.801E-007
Q69N 14:30 342 33.9 1.793E-007
W27N 13:36 300 38.65 6.722E-008
W29N 13:40 302 38.39 5.762E-008
W31N 13:42 304 38.14 7.301E-008
W33N 13:44 306 37.89 7.105E-008
W35N 13:48 308 37.64 8.058E-008
W37N 13:56 310 37.4 9.115E-008
W39N 14:0 312 37.16 9.861E-008
W41N 14:6 314 36.92 1.144E-007
W44N 14:13 317 36.57 1.453E-007
W46N 14:16 319 36.35 1.536E-007
W48N 14:21 321 36.12 1.701E-007
W53N 14:24 326 35.57 1.345E-007
W55N 14:30 328 35.35 1.385E-007
W57N 14:35 330 35.13 1.467E-007
W59N 14:0 332 34.92 1.561E-007
W60N 14:6 333 34.82 1.634E-007
W61N 14:13 334 34.71 1.861E-007
W63N 14:16 336 34.51 1.655E-007
W65N 14:21 338 34.3 1.759E-007
W68N 14:24 341 34 1.819E-007
