name time T kT_1 I
Q27N 13:36 300 38.65 2.059E-006
Q29N 13:40 302 38.39 2.068E-006
Q31N 13:42 304 38.14 2.189E-006
Q33N 13:44 306 37.89 2.439E-006
Q35N 13:48 308 37.64 2.615E-006
Q37N 13:56 310 37.4 2.830E-006
Q39N 14:0 312 37.16 3.039E-006
Q41N 14:6 314 36.92 3.291E-006
Q44N 14:13 317 36.57 3.673E-006
Q46N 14:16 319 36.35 3.900E-006
Q48N 14:21 321 36.12 4.117E-006
Q53N 14:24 326 35.57 2.133E-006
Q55N 14:30 328 35.35 2.157E-006
Q57N 14:35 330 35.13 2.179E-006
Q59N 14:0 332 34.92 2.211E-006
Q60N 14:6 333 34.82 2.258E-006
Q61N 14:13 334 34.71 2.343E-006
Q63N 14:16 336 34.51 2.264E-006
Q65N 14:21 338 34.3 2.254E-006
Q68N 14:24 341 34 2.041E-006
Q69N 14:30 342 33.9 2.141E-006
W27N 13:36 300 38.65 2.321E-007
W29N 13:40 302 38.39 2.575E-007
W31N 13:42 304 38.14 2.981E-007
W33N 13:44 306 37.89 3.434E-007
W35N 13:48 308 37.64 4.031E-007
W37N 13:56 310 37.4 4.645E-007
W39N 14:0 312 37.16 5.402E-007
W41N 14:6 314 36.92 6.549E-007
W44N 14:13 317 36.57 8.947E-007
W46N 14:16 319 36.35 1.009E-006
W48N 14:21 321 36.12 1.196E-006
W53N 14:24 326 35.57 1.746E-006
W55N 14:30 328 35.35 1.983E-006
W57N 14:35 330 35.13 2.267E-006
W59N 14:0 332 34.92 2.678E-006
W60N 14:6 333 34.82 2.652E-006
W61N 14:13 334 34.71 3.038E-006
W63N 14:16 336 34.51 3.147E-006
W65N 14:21 338 34.3 3.597E-006
W68N 14:24 341 34 4.128E-006
