name time T kT_1 I
Q27N 13:36 300 38.65 4.892E-005
Q29N 13:40 302 38.39 4.955E-005
Q31N 13:42 304 38.14 5.055E-005
Q33N 13:44 306 37.89 5.088E-005
Q35N 13:48 308 37.64 5.224E-005
Q37N 13:56 310 37.4 5.222E-005
Q39N 14:0 312 37.16 5.388E-005
Q41N 14:6 314 36.92 5.589E-005
Q44N 14:13 317 36.57 5.825E-005
Q46N 14:16 319 36.35 5.926E-005
Q48N 14:21 321 36.12 6.092E-005
Q53N 14:24 326 35.57 3.634E-005
Q55N 14:30 328 35.35 3.646E-005
Q57N 14:35 330 35.13 3.767E-005
Q59N 14:0 332 34.92 3.996E-005
Q60N 14:6 333 34.82 3.923E-005
Q61N 14:13 334 34.71 4.140E-005
Q63N 14:16 336 34.51 4.157E-005
Q65N 14:21 338 34.3 4.382E-005
Q68N 14:24 341 34 4.814E-005
Q69N 14:30 342 33.9 4.858E-005
W27N 13:36 300 38.65 4.290E-007
W29N 13:40 302 38.39 4.948E-007
W31N 13:42 304 38.14 5.737E-007
W33N 13:44 306 37.89 6.673E-007
W35N 13:48 308 37.64 7.833E-007
W37N 13:56 310 37.4 8.833E-007
W39N 14:0 312 37.16 1.052E-006
W41N 14:6 314 36.92 1.270E-006
W44N 14:13 317 36.57 1.747E-006
W46N 14:16 319 36.35 1.960E-006
W48N 14:21 321 36.12 2.351E-006
W53N 14:24 326 35.57 3.739E-006
W55N 14:30 328 35.35 4.395E-006
W57N 14:35 330 35.13 5.266E-006
W59N 14:0 332 34.92 6.794E-006
W60N 14:6 333 34.82 6.576E-006
W61N 14:13 334 34.71 8.024E-006
W63N 14:16 336 34.51 9.026E-006
W65N 14:21 338 34.3 1.139E-005
W68N 14:24 341 34 1.553E-005
