name time T kT_1 I
Q27N 13:36 300 38.65 1.459E-006
Q29N 13:40 302 38.39 1.476E-006
Q31N 13:42 304 38.14 1.571E-006
Q33N 13:44 306 37.89 1.758E-006
Q35N 13:48 308 37.64 1.895E-006
Q37N 13:56 310 37.4 2.060E-006
Q39N 14:0 312 37.16 2.221E-006
Q41N 14:6 314 36.92 2.416E-006
Q44N 14:13 317 36.57 2.723E-006
Q46N 14:16 319 36.35 2.903E-006
Q48N 14:21 321 36.12 3.079E-006
Q53N 14:24 326 35.57 1.656E-006
Q55N 14:30 328 35.35 1.680E-006
Q57N 14:35 330 35.13 1.709E-006
Q59N 14:0 332 34.92 1.745E-006
Q60N 14:6 333 34.82 1.785E-006
Q61N 14:13 334 34.71 1.863E-006
Q63N 14:16 336 34.51 1.789E-006
Q65N 14:21 338 34.3 1.794E-006
Q68N 14:24 341 34 1.680E-006
Q69N 14:30 342 33.9 1.721E-006
W27N 13:36 300 38.65 2.152E-007
W29N 13:40 302 38.39 2.353E-007
W31N 13:42 304 38.14 2.735E-007
W33N 13:44 306 37.89 3.151E-007
W35N 13:48 308 37.64 3.691E-007
W37N 13:56 310 37.4 4.243E-007
W39N 14:0 312 37.16 4.922E-007
W41N 14:6 314 36.92 5.959E-007
W44N 14:13 317 36.57 8.111E-007
W46N 14:16 319 36.35 9.083E-007
W48N 14:21 321 36.12 1.075E-006
W53N 14:24 326 35.57 1.503E-006
W55N 14:30 328 35.35 1.676E-006
W57N 14:35 330 35.13 1.883E-006
W59N 14:0 332 34.92 2.170E-006
W60N 14:6 333 34.82 2.160E-006
W61N 14:13 334 34.71 2.466E-006
W63N 14:16 336 34.51 2.480E-006
W65N 14:21 338 34.3 2.809E-006
W68N 14:24 341 34 3.159E-006
