name time T kT_1 I
Q27N 13:36 300 38.65 3.317E-006
Q29N 13:40 302 38.39 3.314E-006
Q31N 13:42 304 38.14 3.485E-006
Q33N 13:44 306 37.89 3.877E-006
Q35N 13:48 308 37.64 4.133E-006
Q37N 13:56 310 37.4 4.482E-006
Q39N 14:0 312 37.16 4.753E-006
Q41N 14:6 314 36.92 5.264E-006
Q44N 14:13 317 36.57 5.713E-006
Q46N 14:16 319 36.35 6.021E-006
Q48N 14:21 321 36.12 6.310E-006
Q53N 14:24 326 35.57 3.157E-006
Q55N 14:30 328 35.35 3.162E-006
Q57N 14:35 330 35.13 3.160E-006
Q59N 14:0 332 34.92 3.173E-006
Q60N 14:6 333 34.82 3.210E-006
Q61N 14:13 334 34.71 3.335E-006
Q63N 14:16 336 34.51 3.232E-006
Q65N 14:21 338 34.3 3.139E-006
Q68N 14:24 341 34 2.850E-006
Q69N 14:30 342 33.9 3.024E-006
W27N 13:36 300 38.65 2.589E-007
W29N 13:40 302 38.39 2.914E-007
W31N 13:42 304 38.14 3.387E-007
W33N 13:44 306 37.89 3.917E-007
W35N 13:48 308 37.64 4.574E-007
W37N 13:56 310 37.4 5.268E-007
W39N 14:0 312 37.16 6.170E-007
W41N 14:6 314 36.92 7.472E-007
W44N 14:13 317 36.57 1.025E-006
W46N 14:16 319 36.35 1.155E-006
W48N 14:21 321 36.12 1.381E-006
W53N 14:24 326 35.57 2.098E-006
W55N 14:30 328 35.35 2.423E-006
W57N 14:35 330 35.13 2.834E-006
W59N 14:0 332 34.92 3.477E-006
W60N 14:6 333 34.82 3.401E-006
W61N 14:13 334 34.71 3.979E-006
W63N 14:16 336 34.51 4.249E-006
W65N 14:21 338 34.3 4.982E-006
W68N 14:24 341 34 5.872E-006
