name time T kT_1 I
Q27N 13:36 300 38.65 5.155E-007
Q29N 13:40 302 38.39 5.304E-007
Q31N 13:42 304 38.14 5.656E-007
Q33N 13:44 306 37.89 6.396E-007
Q35N 13:48 308 37.64 7.050E-007
Q37N 13:56 310 37.4 7.696E-007
Q39N 14:0 312 37.16 8.443E-007
Q41N 14:6 314 36.92 9.368E-007
Q44N 14:13 317 36.57 1.084E-006
Q46N 14:16 319 36.35 1.167E-006
Q48N 14:21 321 36.12 1.261E-006
Q53N 14:24 326 35.57 7.481E-007
Q55N 14:30 328 35.35 7.742E-007
Q57N 14:35 330 35.13 7.853E-007
Q59N 14:0 332 34.92 8.155E-007
Q60N 14:6 333 34.82 8.332E-007
Q61N 14:13 334 34.71 8.819E-007
Q63N 14:16 336 34.51 8.487E-007
Q65N 14:21 338 34.3 8.551E-007
Q68N 14:24 341 34 8.268E-007
Q69N 14:30 342 33.9 8.455E-007
W27N 13:36 300 38.65 1.630E-007
W29N 13:40 302 38.39 1.738E-007
W31N 13:42 304 38.14 2.037E-007
W33N 13:44 306 37.89 2.290E-007
W35N 13:48 308 37.64 2.660E-007
W37N 13:56 310 37.4 3.053E-007
W39N 14:0 312 37.16 3.508E-007
W41N 14:6 314 36.92 4.181E-007
W44N 14:13 317 36.57 5.558E-007
W46N 14:16 319 36.35 6.118E-007
W48N 14:21 321 36.12 7.061E-007
W53N 14:24 326 35.57 7.937E-007
W55N 14:30 328 35.35 8.441E-007
W57N 14:35 330 35.13 9.130E-007
W59N 14:0 332 34.92 9.945E-007
W60N 14:6 333 34.82 1.019E-006
W61N 14:13 334 34.71 1.141E-006
W63N 14:16 336 34.51 1.085E-006
W65N 14:21 338 34.3 1.205E-006
W68N 14:24 341 34 1.299E-006
