name time T kT_1 I
Q27N 13:36 300 38.65 2.705E-006
Q29N 13:40 302 38.39 2.704E-006
Q31N 13:42 304 38.14 2.848E-006
Q33N 13:44 306 37.89 3.165E-006
Q35N 13:48 308 37.64 3.394E-006
Q37N 13:56 310 37.4 3.677E-006
Q39N 14:0 312 37.16 3.910E-006
Q41N 14:6 314 36.92 4.236E-006
Q44N 14:13 317 36.57 4.682E-006
Q46N 14:16 319 36.35 4.960E-006
Q48N 14:21 321 36.12 5.310E-006
Q53N 14:24 326 35.57 2.662E-006
Q55N 14:30 328 35.35 2.679E-006
Q57N 14:35 330 35.13 2.685E-006
Q59N 14:0 332 34.92 2.697E-006
Q60N 14:6 333 34.82 2.754E-006
Q61N 14:13 334 34.71 2.849E-006
Q63N 14:16 336 34.51 2.792E-006
Q65N 14:21 338 34.3 2.708E-006
Q68N 14:24 341 34 2.462E-006
Q69N 14:30 342 33.9 2.588E-006
W27N 13:36 300 38.65 2.485E-007
W29N 13:40 302 38.39 2.767E-007
W31N 13:42 304 38.14 3.209E-007
W33N 13:44 306 37.89 3.692E-007
W35N 13:48 308 37.64 4.326E-007
W37N 13:56 310 37.4 4.970E-007
W39N 14:0 312 37.16 5.815E-007
W41N 14:6 314 36.92 7.042E-007
W44N 14:13 317 36.57 9.638E-007
W46N 14:16 319 36.35 1.087E-006
W48N 14:21 321 36.12 1.296E-006
W53N 14:24 326 35.57 1.940E-006
W55N 14:30 328 35.35 2.220E-006
W57N 14:35 330 35.13 2.580E-006
W59N 14:0 332 34.92 3.107E-006
W60N 14:6 333 34.82 3.059E-006
W61N 14:13 334 34.71 3.541E-006
W63N 14:16 336 34.51 3.723E-006
W65N 14:21 338 34.3 4.326E-006
W68N 14:24 341 34 5.031E-006
