name time T kT_1 I
Q27N 13:36 300 38.65 3.549E-005
Q29N 13:40 302 38.39 3.619E-005
Q31N 13:42 304 38.14 3.679E-005
Q33N 13:44 306 37.89 3.745E-005
Q35N 13:48 308 37.64 3.812E-005
Q37N 13:56 310 37.4 3.858E-005
Q39N 14:0 312 37.16 3.962E-005
Q41N 14:6 314 36.92 4.042E-005
Q44N 14:13 317 36.57 4.250E-005
Q46N 14:16 319 36.35 4.319E-005
Q48N 14:21 321 36.12 4.402E-005
Q53N 14:24 326 35.57 2.618E-005
Q55N 14:30 328 35.35 2.598E-005
Q57N 14:35 330 35.13 2.672E-005
Q59N 14:0 332 34.92 2.833E-005
Q60N 14:6 333 34.82 2.786E-005
Q61N 14:13 334 34.71 2.932E-005
Q63N 14:16 336 34.51 2.960E-005
Q65N 14:21 338 34.3 3.128E-005
Q68N 14:24 341 34 3.443E-005
Q69N 14:30 342 33.9 3.429E-005
W27N 13:36 300 38.65 4.000E-007
W29N 13:40 302 38.39 4.606E-007
W31N 13:42 304 38.14 5.308E-007
W33N 13:44 306 37.89 6.213E-007
W35N 13:48 308 37.64 7.257E-007
W37N 13:56 310 37.4 8.236E-007
W39N 14:0 312 37.16 9.789E-007
W41N 14:6 314 36.92 1.184E-006
W44N 14:13 317 36.57 1.629E-006
W46N 14:16 319 36.35 1.830E-006
W48N 14:21 321 36.12 2.194E-006
W53N 14:24 326 35.57 3.488E-006
W55N 14:30 328 35.35 4.103E-006
W57N 14:35 330 35.13 4.935E-006
W59N 14:0 332 34.92 6.343E-006
W60N 14:6 333 34.82 6.138E-006
W61N 14:13 334 34.71 7.485E-006
W63N 14:16 336 34.51 8.393E-006
W65N 14:21 338 34.3 1.055E-005
W68N 14:24 341 34 1.407E-005
