name time T kT_1 I
AFTERRUS0  0 555 8.116E-008
AFTERRUS1  0 555 3.237E-008
AFTERRUS2  0 555 8.051E-009
AFTERUS0  0 555 1.769E-008
AFTERUS1  0 555 4.325E-008
AFTERUS2  0 555 4.142E-007
BEFORE  0 555 1.354E-005
BEFORER  0 555 1.753E-008
