name time T kT_1 I
AFTERRUS0  0 555 5.046E-008
AFTERRUS1  0 555 1.954E-008
AFTERRUS2  0 555 5.550E+002
AFTERUS0  0 555 1.291E-008
AFTERUS1  0 555 3.020E-008
AFTERUS2  0 555 2.763E-007
BEFORE  0 555 6.533E-006
BEFORER  0 555 1.578E-008
